generation,generation_mean,generation_std,best_fitness_mean,best_fitness_std,mean_fitness_mean,mean_fitness_std,std_fitness_mean,std_fitness_std,best_index_mean,best_index_std,execute_calls_mean,execute_calls_std,execute_calls_nominal_mean,execute_calls_nominal_std,fitness_cases_mean,fitness_cases_std,unique_programs_mean,unique_programs_std,duplicate_ratio_mean,duplicate_ratio_std,freq_NOP_mean,freq_NOP_std,freq_X_mean,freq_X_std,freq_+_mean,freq_+_std,freq_-_mean,freq_-_std,freq_*_mean,freq_*_std,freq_1_mean,freq_1_std,freq_-1_mean,freq_-1_std,freq_0_mean,freq_0_std
23,23.0,0.0,27.8,10.768266135063506,23.788,7.205204600379739,5.907779863315994,5.064661564496362,12.0,24.77453890141606,59.0,32.799051476800024,400.0,0.0,2.0,0.0,29.5,16.399525738400012,0.8525,0.08199762869200007,0.10286666666666666,0.042169762732186304,0.22916666666666666,0.042810953946131346,0.23541666666666666,0.06532942401380336,0.13921666666666666,0.06091727085883681,0.08056666666666666,0.02267227599438204,0.08991666666666667,0.039917604179820085,0.09586666666666667,0.038539045456411576,0.02698333333333333,0.016238281624711918
24,24.0,0.0,28.6,10.458383134011573,25.387999999999998,8.793149859091702,5.59168518130155,3.938270465461352,17.2,31.534108517603602,52.4,13.326664999166145,400.0,0.0,2.0,0.0,26.2,6.663332499583072,0.869,0.033316662497915386,0.10253333333333334,0.047164068767612165,0.22959999999999997,0.04256079167090669,0.23331666666666667,0.0640449037110528,0.1430833333333333,0.06057111166142845,0.08106666666666666,0.022548876953228776,0.08801666666666667,0.04070121862464151,0.09445,0.0379438384529453,0.02793333333333333,0.015532363663900428
25,25.0,0.0,28.8,10.250203250017371,25.929000000000002,9.238007781863887,5.0581907181369,2.9726450359820245,17.8,31.71680241694543,50.4,19.906447866625193,400.0,0.0,2.0,0.0,25.2,9.953223933312596,0.874,0.04976611966656298,0.10281666666666667,0.046898593650766894,0.2305,0.042677299022452826,0.23306666666666667,0.06364369374169306,0.14263333333333333,0.06072914975223702,0.08138333333333334,0.022335965848164486,0.0866,0.04178215107133844,0.09468333333333333,0.038111309523293044,0.028316666666666667,0.015432139382662599
26,26.0,0.0,28.8,10.250203250017371,26.188,9.547498567105883,5.65042057013409,2.91931258662902,4.1,9.85956951956378,52.8,21.54478539641966,400.0,0.0,2.0,0.0,26.4,10.77239269820983,0.868,0.053861963491049165,0.10301666666666667,0.045209078761562216,0.22913333333333333,0.04326795638093757,0.23438333333333333,0.06446283501960981,0.14216666666666666,0.06013241561260787,0.08156666666666666,0.022350629013160917,0.08635000000000001,0.04166714444170522,0.09459999999999999,0.037896561621287614,0.028783333333333334,0.015064685628529384
27,27.0,0.0,29.8,10.559882154224596,26.938,10.026033667962178,5.3767384854008045,2.656150777934505,5.7,12.193349735727988,45.8,21.070252859316984,400.0,0.0,2.0,0.0,22.9,10.535126429658492,0.8855000000000001,0.05267563214829247,0.10143333333333333,0.044364107948589186,0.23149999999999998,0.042938299114708735,0.23595000000000002,0.06454441718788277,0.1411,0.058779101014300845,0.08125,0.022471415313078065,0.08621666666666666,0.040908513557467246,0.09340000000000001,0.03747362858739693,0.02915,0.015310459992605878
28,28.0,0.0,29.8,10.559882154224596,27.191000000000003,9.577752519946072,5.895472997248538,3.405699167688275,8.1,23.230487630602063,45.2,19.164782516086348,400.0,0.0,2.0,0.0,22.6,9.582391258043174,0.8869999999999999,0.047911956290215885,0.10181666666666667,0.04553844190744809,0.23756666666666665,0.04359488020681916,0.23538333333333333,0.0616441926014242,0.13771666666666665,0.05612755809562517,0.08053333333333333,0.024046226058455012,0.08546666666666666,0.04064045907196727,0.09238333333333335,0.03741484570344164,0.029133333333333334,0.01596384804627144
29,29.0,0.0,31.6,14.167254889748794,27.436,9.398615973760299,5.737037953163524,3.34393572571824,8.1,17.54011275777769,46.0,18.571184369578827,400.0,0.0,2.0,0.0,23.0,9.285592184789413,0.885,0.046427960923947055,0.10218333333333333,0.04621023148424124,0.24028333333333332,0.045290560567774044,0.23610000000000003,0.059734711872320406,0.13585,0.05610398469596819,0.07963333333333333,0.02631337734234231,0.08446666666666666,0.04169101510806304,0.09218333333333333,0.0375218825043023,0.0293,0.01663623147022378
30,30.0,0.0,32.0,14.079141387961917,27.488,9.345248109184807,6.346082863561453,3.8234353791687963,19.2,34.985076183360746,44.4,21.945386758952328,400.0,0.0,2.0,0.0,22.2,10.972693379476164,0.889,0.05486346689738083,0.10171666666666668,0.0460177133098941,0.24236666666666667,0.0461317089202344,0.23656666666666668,0.058472490102315915,0.13328333333333334,0.057972537666181136,0.07965,0.027066156946486727,0.0849,0.04179263920067773,0.09218333333333334,0.03803096934906642,0.029333333333333333,0.016919927618559243
31,31.0,0.0,32.4,14.00952057233461,28.201,9.811608147721985,5.559181850148027,3.1012913362348407,10.1,13.016655996581202,39.8,17.99876538975814,400.0,0.0,2.0,0.0,19.9,8.99938269487907,0.9005000000000001,0.04499691347439534,0.10131666666666668,0.04588421081885507,0.24253333333333332,0.04740831307005288,0.23628333333333332,0.05838209866426903,0.13208333333333333,0.0580882284456207,0.07968333333333333,0.026900072284082976,0.08535,0.0404576024078614,0.09303333333333333,0.03942752375726416,0.02971666666666667,0.01723441324791767
32,32.0,0.0,33.2,15.061355996205801,28.736,10.227630549969364,6.498587698582133,4.067032486802599,10.7,24.009488864937452,41.8,10.93211375311797,400.0,0.0,2.0,0.0,20.9,5.466056876558985,0.8955,0.027330284382794945,0.10238333333333334,0.046392784267585904,0.23993333333333333,0.050408589802988193,0.2353,0.059010346445808305,0.13078333333333333,0.058194387430361885,0.07936666666666667,0.027480385822223667,0.08653333333333332,0.039039691736285485,0.09485,0.041711268720474155,0.03085,0.01928961372166027
