generation,best_fitness,mean_fitness,std_fitness,best_index,execute_calls,execute_calls_nominal,fitness_cases,unique_programs,duplicate_ratio,freq_NOP,freq_X,freq_+,freq_-,freq_*,freq_1,freq_-1,freq_0
22,8.0,5.96,0.63118935352238,29,66.0,100.0,2.0,33.0,0.33999999999999997,0.09266666666666666,0.14333333333333334,0.184,0.14266666666666666,0.11533333333333333,0.06733333333333333,0.15666666666666668,0.098
23,6.0,5.84,0.7838367176906171,0,58.0,100.0,2.0,29.0,0.42000000000000004,0.096,0.14,0.192,0.14133333333333334,0.11333333333333333,0.06666666666666667,0.14933333333333335,0.10133333333333333
24,6.0,5.56,1.283121194587635,0,68.0,100.0,2.0,34.0,0.31999999999999995,0.09066666666666667,0.13866666666666666,0.18666666666666668,0.13733333333333334,0.11466666666666667,0.06733333333333333,0.16,0.10466666666666667
25,6.0,5.84,0.7838367176906171,0,56.0,100.0,2.0,28.0,0.43999999999999995,0.09133333333333334,0.134,0.18666666666666668,0.14,0.11466666666666667,0.06866666666666667,0.15933333333333333,0.10533333333333333
26,6.0,6.0,0.0,0,54.0,100.0,2.0,27.0,0.45999999999999996,0.09333333333333334,0.13733333333333334,0.182,0.13333333333333333,0.12333333333333334,0.062,0.15866666666666668,0.11
27,6.0,5.72,1.26554336156451,0,64.0,100.0,2.0,32.0,0.36,0.09733333333333333,0.13266666666666665,0.18333333333333332,0.13933333333333334,0.12133333333333333,0.06466666666666666,0.15466666666666667,0.10666666666666667
28,6.0,5.84,0.8799999999999999,0,58.0,100.0,2.0,29.0,0.42000000000000004,0.09866666666666667,0.13666666666666666,0.18266666666666667,0.14,0.11866666666666667,0.06333333333333334,0.154,0.106
29,6.0,5.92,0.5599999999999999,0,70.0,100.0,2.0,35.0,0.30000000000000004,0.10066666666666667,0.13933333333333334,0.184,0.13733333333333334,0.118,0.06,0.152,0.10866666666666666
30,6.0,6.0,0.0,0,80.0,100.0,2.0,40.0,0.19999999999999996,0.102,0.136,0.18066666666666667,0.14266666666666666,0.118,0.06333333333333334,0.15266666666666667,0.10466666666666667
31,6.0,6.0,0.0,0,62.0,100.0,2.0,31.0,0.38,0.10133333333333333,0.13733333333333334,0.17466666666666666,0.14,0.122,0.06,0.158,0.10666666666666667
32,8.0,5.84,1.0461357464497614,22,66.0,100.0,2.0,33.0,0.33999999999999997,0.10333333333333333,0.14266666666666666,0.16933333333333334,0.13133333333333333,0.122,0.05733333333333333,0.16066666666666668,0.11333333333333333
33,8.0,5.84,1.316966210652346,32,70.0,100.0,2.0,35.0,0.30000000000000004,0.1,0.14533333333333334,0.17133333333333334,0.13266666666666665,0.124,0.05533333333333333,0.15933333333333333,0.112
34,8.0,6.08,0.7959899496852959,18,66.0,100.0,2.0,33.0,0.33999999999999997,0.092,0.14866666666666667,0.17466666666666666,0.13466666666666666,0.12933333333333333,0.05266666666666667,0.15866666666666668,0.10933333333333334
35,8.0,6.28,1.2006664815842907,0,62.0,100.0,2.0,31.0,0.38,0.09266666666666666,0.15666666666666668,0.18333333333333332,0.12666666666666668,0.126,0.051333333333333335,0.15133333333333332,0.112
36,8.0,6.84,1.3908270920570969,1,66.0,100.0,2.0,33.0,0.33999999999999997,0.09133333333333334,0.16266666666666665,0.20866666666666667,0.116,0.12933333333333333,0.048,0.13133333333333333,0.11266666666666666
37,8.0,7.4,1.50996688705415,0,62.0,100.0,2.0,31.0,0.38,0.09266666666666666,0.168,0.22133333333333333,0.1,0.13333333333333333,0.04066666666666666,0.13133333333333333,0.11266666666666666
38,8.0,7.12,2.405327420539665,0,58.0,100.0,2.0,29.0,0.42000000000000004,0.09733333333333333,0.168,0.23133333333333334,0.092,0.132,0.04,0.12,0.11933333333333333
39,8.0,7.76,1.1757550765359255,0,50.0,100.0,2.0,25.0,0.5,0.102,0.16933333333333334,0.23133333333333334,0.08666666666666667,0.12866666666666668,0.04066666666666666,0.12133333333333333,0.12
40,8.0,7.68,1.9742340286804905,0,46.0,100.0,2.0,23.0,0.54,0.10533333333333333,0.168,0.236,0.08066666666666666,0.13066666666666665,0.03933333333333333,0.114,0.126
41,8.0,8.0,0.0,0,42.0,100.0,2.0,21.0,0.5800000000000001,0.10266666666666667,0.17266666666666666,0.23933333333333334,0.07466666666666667,0.126,0.04133333333333333,0.11533333333333333,0.128
42,8.0,7.76,0.8616263691415207,0,46.0,100.0,2.0,23.0,0.54,0.10333333333333333,0.17266666666666666,0.242,0.07266666666666667,0.126,0.043333333333333335,0.11133333333333334,0.12866666666666668
43,10.0,7.68,1.6178998732925347,48,36.0,100.0,2.0,18.0,0.64,0.10533333333333333,0.174,0.24733333333333332,0.07133333333333333,0.12333333333333334,0.04133333333333333,0.10666666666666667,0.13066666666666665
44,10.0,8.24,0.6499230723708769,1,28.0,100.0,2.0,14.0,0.72,0.10333333333333333,0.18066666666666667,0.25,0.07,0.12133333333333333,0.037333333333333336,0.10533333333333333,0.132
45,10.0,8.44,1.2831211945876353,0,28.0,100.0,2.0,14.0,0.72,0.10266666666666667,0.18733333333333332,0.256,0.06866666666666667,0.12533333333333332,0.027333333333333334,0.09933333333333333,0.13333333333333333
46,10.0,8.68,2.9287540012776767,1,26.0,100.0,2.0,13.0,0.74,0.10333333333333333,0.20066666666666666,0.26,0.06866666666666667,0.12866666666666668,0.004666666666666667,0.09866666666666667,0.13533333333333333
47,10.0,9.08,3.1294727990509834,0,16.0,100.0,2.0,8.0,0.84,0.104,0.204,0.2613333333333333,0.06666666666666667,0.12933333333333333,0.0006666666666666666,0.10133333333333333,0.13266666666666665
48,10.0,9.48,2.7367133572955717,1,14.0,100.0,2.0,7.0,0.86,0.10333333333333333,0.202,0.2613333333333333,0.06866666666666667,0.13,0.0006666666666666666,0.10066666666666667,0.13333333333333333
49,10.0,9.48,2.4919069003476033,0,18.0,100.0,2.0,9.0,0.8200000000000001,0.10266666666666667,0.20266666666666666,0.2653333333333333,0.06666666666666667,0.12733333333333333,0.0026666666666666666,0.1,0.13266666666666665
50,10.0,9.68,1.4062716664997559,0,16.0,100.0,2.0,8.0,0.84,0.10466666666666667,0.20533333333333334,0.262,0.06666666666666667,0.12533333333333332,0.002,0.102,0.132
