generation,generation_mean,generation_std,best_fitness_mean,best_fitness_std,mean_fitness_mean,mean_fitness_std,std_fitness_mean,std_fitness_std,best_index_mean,best_index_std
30,30.0,0.0,92.5,1.3540064007726595,89.55550000000001,1.096237124591816,1.0808836503907409,0.1416099271394134,72.9,64.17242398413823
31,31.0,0.0,93.2,1.813529401164724,90.09349999999999,1.105752760189487,1.0940018681985455,0.16158043190825444,73.0,63.60118796933837
32,32.0,0.0,93.5,1.779513042005218,90.668,1.141882461357369,1.076772220482819,0.1446512480128199,76.8,61.793203509771196
33,33.0,0.0,93.7,1.6363916944844754,91.18350000000001,1.151552213319048,1.0463839492585447,0.21716130905156714,26.3,30.048294460751013
34,34.0,0.0,94.4,1.264911064067352,91.7105,1.2054447081655992,1.0103506638626887,0.1917580536689816,62.1,55.584670148841894
35,35.0,0.0,94.7,1.4181364924121764,92.24449999999999,1.241973004716466,0.9648322886887699,0.1959908010981642,51.2,37.83237884258521
36,36.0,0.0,94.7,1.1595018087284048,92.7115,1.2621917665535451,0.8939312986575096,0.15033049990123026,37.7,39.20898423122492
37,37.0,0.0,95.5,1.5092308563562358,93.124,1.2772383402395098,0.8830828147682791,0.16527667799761053,59.3,45.03837869590284
38,38.0,0.0,95.7,1.3374935098492586,93.5535,1.2973135704215848,0.8119446383602795,0.2032059826273569,40.8,34.44415770489969
39,39.0,0.0,95.9,1.6633299933166203,93.9605,1.3250145701504985,0.7701584255212337,0.19635144115322753,23.6,27.821654236303857
40,40.0,0.0,96.1,1.5238839267549962,94.3345,1.3566737305303398,0.7560356145781525,0.15460576922337116,39.9,65.71394237315413
41,41.0,0.0,96.4,1.5776212754932333,94.705,1.404118940830866,0.7463469909133774,0.15472617086161125,26.6,35.57214890581925
42,42.0,0.0,96.7,1.3374935098492586,95.0285,1.440312562528628,0.7144424508911291,0.12999779641156603,45.5,60.977682620593065
43,43.0,0.0,97.1,1.370320319406299,95.3365,1.4433161084422523,0.6646997058702635,0.13982847038022164,38.6,55.339758663088595
44,44.0,0.0,97.1,1.370320319406299,95.59049999999999,1.4500774883509553,0.6603502457846842,0.13036296718567192,25.6,30.019253081240304
45,45.0,0.0,97.4,1.3498971154211048,95.8615,1.4747430096272554,0.6244842564662522,0.1372625765368948,60.0,55.80123455424421
46,46.0,0.0,97.4,1.3498971154211048,96.091,1.4862607816635367,0.6067351307051643,0.14343980994048894,21.6,29.375726941359822
47,47.0,0.0,97.5,1.2692955176439846,96.316,1.4869820293317477,0.6091716549380741,0.17336504459924376,8.0,8.956685895029603
48,48.0,0.0,97.6,1.4298407059684808,96.54299999999999,1.4598082065805789,0.5700136293469306,0.10697591815575493,25.2,59.405948074807014
49,49.0,0.0,97.7,1.3374935098492577,96.761,1.4342648136085443,0.5594828300780449,0.08468216949840925,22.8,41.399946323099925
50,50.0,0.0,97.9,1.3703203194062963,96.994,1.4108366312227678,0.5543777510001963,0.10653799111618129,13.3,19.692356103038787
